Operation,ansible-galaxy,apk,apt,brew,bun,bundler,cabal,cards,cargo,composer,conan,conda,cpan,cpanm,deno,dnf,docker,dotnet,emerge,eopkg,gem,go,gradle,hatch,helm,leiningen,luarocks,mamba,maven,mix,nix,npm,nuget,opam,pacman,pdm,pip,pipenv,pkg,pkgcon,pkgtools,pnpm,podman,poetry,ports,pub,rbenv,rebar3,rustup,slackpkg,slapt-get,smart,snap,stack,terraform,urpmi,uv,xbps,yarn,yum,zypper
Remove dependency from manifest,ansible-galaxy remove [role],N/A,apt remove [package],N/A,bun remove [package],bundle remove [gem],N/A,cards remove [package],cargo remove [package],composer remove [package],conan remove [package],conda remove [package],cpan -U [module],N/A,deno remove [package],dnf remove [package],N/A,dotnet remove package [package],N/A,eopkg remove [package],N/A,N/A,N/A,N/A,N/A,N/A,luarocks remove [rock],mamba remove [package],N/A,N/A,nix profile remove [package],N/A,dotnet nuget remove source [name],opam remove [package],pacman -R [package],pdm remove [package],N/A,N/A,pkg remove [package],pkcon remove [package],removepkg [package],N/A,N/A,poetry remove [package],pkg_delete [package],dart pub remove [package],N/A,N/A,N/A,slackpkg remove [package],slapt-get --remove [package],smart remove [package],snap remove [package],N/A,N/A,urpme [package],uv remove [package],xbps-remove [package],N/A,yum remove [package],zypper remove [package]
Run script/command,N/A,N/A,N/A,N/A,bun run [script],N/A,cabal run,N/A,cargo run,N/A,N/A,N/A,N/A,N/A,deno run [file],N/A,docker run [image],dotnet run,N/A,N/A,N/A,go run [file],gradle run,hatch run [command],N/A,lein run,N/A,N/A,N/A,mix run,nix run [package],npm run [script],N/A,N/A,N/A,pdm run [script],N/A,pipenv run [command],N/A,N/A,N/A,pnpm run [script],podman run [image],poetry run [command],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,stack run,N/A,N/A,uv run [command],N/A,yarn run [script],N/A,N/A
Execute in context,N/A,N/A,N/A,N/A,bun x [command],bundle exec [command],N/A,N/A,N/A,composer exec [command],N/A,N/A,N/A,N/A,N/A,N/A,docker exec [container] [command],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npx [command],N/A,opam exec [command],N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm exec [command],podman exec [container] [command],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,stack exec [command],N/A,N/A,N/A,N/A,yarn exec [command],N/A,N/A
Run tests,N/A,N/A,N/A,N/A,bun test,N/A,cabal test,N/A,cargo test,N/A,conan test [path],N/A,N/A,N/A,deno test,N/A,N/A,dotnet test,N/A,N/A,N/A,go test,gradle test,hatch test,N/A,lein test,N/A,N/A,mvn test,mix test,N/A,npm test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm test,N/A,N/A,N/A,N/A,N/A,rebar3 test,N/A,N/A,N/A,N/A,N/A,stack test,N/A,N/A,N/A,N/A,yarn test,N/A,N/A
Build project,N/A,N/A,N/A,N/A,bun build [file],N/A,cabal build,N/A,cargo build,N/A,conan build [path],N/A,N/A,N/A,deno compile [file],N/A,docker build [path],dotnet build,N/A,N/A,gem build [gemspec],go build,gradle build,hatch build,N/A,N/A,luarocks build,N/A,N/A,N/A,nix build,N/A,N/A,N/A,N/A,pdm build,N/A,N/A,N/A,N/A,N/A,N/A,podman build [path],poetry build,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,stack build,N/A,N/A,uv build,N/A,N/A,N/A,N/A
Check/verify,N/A,N/A,N/A,N/A,N/A,bundle check,cabal check,N/A,cargo check,N/A,N/A,N/A,N/A,N/A,deno check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pip check,pipenv check,N/A,N/A,N/A,N/A,N/A,poetry check,N/A,N/A,N/A,N/A,rustup check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Publish,N/A,N/A,N/A,N/A,bun publish,N/A,N/A,N/A,cargo publish,N/A,N/A,N/A,N/A,N/A,deno publish,N/A,N/A,dotnet publish,N/A,N/A,N/A,N/A,N/A,hatch publish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm publish,N/A,N/A,N/A,pdm publish,N/A,N/A,N/A,N/A,N/A,pnpm publish,N/A,poetry publish,N/A,dart pub publish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv publish,N/A,yarn publish,N/A,N/A
Package for distribution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dotnet pack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,luarocks pack [rock],N/A,N/A,N/A,N/A,npm pack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Login/authenticate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cargo login,N/A,N/A,N/A,N/A,N/A,N/A,N/A,docker login,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm login,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm login,podman login,N/A,N/A,dart pub login,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn login,N/A,N/A
Logout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cargo logout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,docker logout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm logout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm logout,podman logout,N/A,N/A,dart pub logout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn logout,N/A,N/A
Link (dev),N/A,N/A,N/A,brew link [formula],bun link [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm link [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm link [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn link,N/A,N/A
Unlink,N/A,N/A,N/A,brew unlink [formula],bun unlink,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm unlink [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm unlink [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn unlink,N/A,N/A
Clean/cache,N/A,apk cache clean,N/A,N/A,N/A,bundle cache,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm cache <subcommand>,N/A,N/A,N/A,pdm cache clear,pip cache <subcommand>,N/A,N/A,N/A,N/A,N/A,N/A,poetry cache clear,N/A,dart pub cache,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv cache,N/A,yarn cache clean,N/A,N/A
Clean build artifacts,N/A,N/A,N/A,N/A,N/A,bundle clean,cabal clean,N/A,cargo clean,N/A,N/A,conda clean --all,N/A,N/A,deno clean,dnf clean all,N/A,dotnet clean,emerge --depclean,eopkg delete-cache,N/A,go clean,gradle clean,hatch clean,N/A,lein clean,N/A,mamba clean --all,mvn clean,mix clean,N/A,N/A,N/A,opam clean,pacman -Sc,N/A,N/A,pipenv clean,pkg clean,N/A,N/A,N/A,N/A,N/A,cd /usr/ports/category/port && make clean,N/A,N/A,rebar3 clean,N/A,slackpkg clean-system,slapt-get --clean,smart clean,N/A,stack clean,N/A,urpmi --clean,N/A,xbps-remove -O,N/A,yum clean all,zypper clean
Audit security,N/A,N/A,N/A,N/A,bun audit,N/A,N/A,N/A,N/A,composer audit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm audit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm audit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn audit,N/A,N/A
Why/dependency tree,N/A,N/A,N/A,N/A,bun why [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dotnet nuget why [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm why [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn why [package],N/A,N/A
Dependency tree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cargo tree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rebar3 tree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv tree,N/A,N/A,N/A,N/A
Lock dependencies,N/A,N/A,N/A,N/A,N/A,bundle lock,N/A,N/A,N/A,N/A,conan lock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gem lock [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pdm lock,N/A,pipenv lock,N/A,N/A,N/A,N/A,N/A,poetry lock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv lock,N/A,N/A,N/A,N/A
Format code,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cargo fmt,N/A,N/A,N/A,N/A,N/A,deno fmt,N/A,N/A,dotnet format,N/A,N/A,N/A,go fmt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mix format,nix fmt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,terraform fmt,N/A,uv format,N/A,N/A,N/A,N/A
Show licenses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,composer licenses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pnpm licenses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Update package manager itself,N/A,N/A,N/A,N/A,bun upgrade,N/A,N/A,N/A,N/A,composer self-update,N/A,N/A,N/A,cpanm --self-upgrade,deno upgrade,N/A,N/A,N/A,N/A,N/A,gem update --system,N/A,N/A,hatch self update,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,poetry self update,N/A,N/A,N/A,N/A,rustup self update,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Config,N/A,N/A,N/A,brew config,N/A,bundle config,N/A,N/A,cargo config,composer config [key] [value],conan config,conda config,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hatch config,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm config <subcommand>,N/A,opam config,N/A,pdm config,pip config <subcommand>,N/A,N/A,N/A,N/A,pnpm config <subcommand>,N/A,poetry config,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn config <subcommand>,N/A,N/A
Diagnose issues,N/A,N/A,N/A,brew doctor,N/A,bundle doctor,N/A,N/A,N/A,N/A,N/A,conda doctor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Help,ansible-galaxy --help,apk --help,apt help [command],brew help [command],bun --help,bundle help [command],cabal --help,cards --help,cargo help [command],composer help [command],conan --help,conda --help,cpan -h,cpanm --help,deno --help,dnf --help,docker help [command],dotnet --help,emerge --help,eopkg --help,gem help [command],go help [command],gradle --help,hatch --help,helm --help,lein help,luarocks --help,mamba --help,mvn --help,mix help [task],nix --help,npm help [command],dotnet nuget --help,opam --help,pacman --help,pdm --help,pip help [command],pipenv --help,pkg help,pkcon --help,installpkg --help,pnpm help [command],podman --help,poetry help [command],man ports,dart pub --help,rbenv help [command],rebar3 help,rustup help [command],slackpkg help,slapt-get --help,smart --help,snap --help,stack --help,terraform --help,urpmi --help,uv help [command],xbps-install --help,yarn help [command],yum --help,zypper --help
